Order26	POAexemptCode	Description
12236	I69.151	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right dominant side
12237	I69.152	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left dominant side
12238	I69.153	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right non-dominant side
12239	I69.154	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non-dominant side
12240	I69.159	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting unspecified side
12242	I69.161	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right dominant side
12243	I69.162	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left dominant side
12244	I69.163	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right non-dominant side
12245	I69.164	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left non-dominant side
12246	I69.165	"Other paralytic syndrome following nontraumatic intracerebral hemorrhage, bilateral"
12247	I69.169	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting unspecified side
12249	I69.190	Apraxia following nontraumatic intracerebral hemorrhage
12250	I69.191	Dysphagia following nontraumatic intracerebral hemorrhage
12251	I69.192	Facial weakness following nontraumatic intracerebral hemorrhage
12252	I69.193	Ataxia following nontraumatic intracerebral hemorrhage
12253	I69.198	Other sequelae of nontraumatic intracerebral hemorrhage
12255	I69.20	Unspecified sequelae of other nontraumatic intracranial hemorrhage
12257	I69.210	Attention and concentration deficit following other nontraumatic intracranial hemorrhage
12258	I69.211	Memory deficit following other nontraumatic intracranial hemorrhage
12259	I69.212	Visuospatial deficit and spatial neglect following other nontraumatic intracranial hemorrhage
12260	I69.213	Psychomotor deficit following other nontraumatic intracranial hemorrhage
12261	I69.214	Frontal lobe and executive function deficit following other nontraumatic intracranial hemorrhage
12262	I69.215	Cognitive social or emotional deficit following other nontraumatic intracranial hemorrhage
12263	I69.218	Other symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
12264	I69.219	Unspecified symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
12266	I69.220	Aphasia following other nontraumatic intracranial hemorrhage
12267	I69.221	Dysphasia following other nontraumatic intracranial hemorrhage
12268	I69.222	Dysarthria following other nontraumatic intracranial hemorrhage
12269	I69.223	Fluency disorder following other nontraumatic intracranial hemorrhage
12270	I69.228	Other speech and language deficits following other nontraumatic intracranial hemorrhage
12272	I69.231	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right dominant side
12273	I69.232	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left dominant side
12274	I69.233	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
12275	I69.234	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
12276	I69.239	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting unspecified side
12278	I69.241	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right dominant side
12279	I69.242	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left dominant side
12280	I69.243	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
12281	I69.244	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
